Process day,CellName,Cell Type,Slice,Duration,Frequency,Amplitude,Modulation Index
5/20/19,TS052019a,PV,L2,20000,200,0.5,0.125364431
5/20/19,TS052019b,Lhx6,L2,100,20,1.25,-0.238095238
5/20/19,TS052019b,Lhx6,L2,30000,150,2,0.16496945
5/20/19,TS052019b,Lhx6,L2,500,50,1,-1
5/20/19,TS052019b,Lhx6,L2,500,10,2.5,-0.833333333
5/20/19,TS052019b,Lhx6,L2,100,10,1,-0.459459459
5/20/19,TS052019b,Lhx6,L2,1000,200,1.25,-0.911111111
5/20/19,TS052019b,Lhx6,L2,1000,150,1.5,-1
5/20/19,TS052019b,Lhx6,L2,50,150,2.5,-1
5/20/19,TS052019b,Lhx6,L2,10000,10,2.5,-0.423357664
5/20/19,TS052019b,Lhx6,L2,50,80,1,-1
5/20/19,TS052019b,Lhx6,L2,1000,150,2,-1
5/20/19,TS052019b,Lhx6,L2,5000,80,0.5,0.032258065
5/20/19,TS052019c,PV,L2,20000,100,1.25,-0.04640299
5/20/19,TS052019c,PV,L2,50,20,1,0.043478261
5/20/19,TS052019c,PV,L2,250,150,0.5,0.44966443
5/20/19,TS052019c,PV,L2,10000,20,0.5,0.103139013
5/20/19,TS052019d,PV,L2,500,150,0.5,0.416666667
5/20/19,TS052019d,PV,L2,500,80,0.5,0.433333333
5/20/19,TS052019d,PV,L2,100,80,1,0.219512195
5/20/19,TS052019d,PV,L2,500,150,2.5,-0.68
5/20/19,TS052019d,PV,L2,10000,20,2.5,0.035947712
5/20/19,TS052019d,PV,L2,100,150,1.5,0.558441558
5/20/19,TS052019d,PV,L2,1000,50,2.5,0
5/20/19,TS052019d,PV,L2,50,150,1.25,0.652892562
5/20/19,TS052019d,PV,L2,500,200,0.5,0.75
5/20/19,TS052019d,PV,L2,500,200,1,0.464788732
5/20/19,TS052019d,PV,L2,50,150,2,0.739130435
5/20/19,TS052019d,PV,L2,50,50,1.5,0.509433962
5/20/19,TS052019d,PV,L2,500,150,1.5,0.367521368
5/20/19,TS052019e,Lhx6,L2,5000,50,1,-0.515151515
5/20/19,TS052019e,Lhx6,L2,30000,80,1.25,0.128329509
5/20/19,TS052019e,Lhx6,L2,500,20,2.5,0.333333333
5/20/19,TS052019e,Lhx6,L2,20000,200,1.25,0.568345324
5/20/19,TS052019e,Lhx6,L2,500,200,1.5,0.290322581
5/20/19,TS052019f,Lhx6,L2,5000,50,1.5,-0.538461538
5/20/19,TS052019f,Lhx6,L2,500,50,2,-1
5/20/19,TS052019f,Lhx6,L2,10000,20,0.5,-0.45
5/20/19,TS052019f,Lhx6,L2,500,80,2,-1
5/20/19,TS052019f,Lhx6,L2,250,200,1,-1
5/20/19,TS052019f,Lhx6,L2,100,20,2.5,-1
5/20/19,TS052019f,Lhx6,L2,10000,20,2.5,-1
5/20/19,TS052019f,Lhx6,L2,250,20,1,-1
5/20/19,TS052019f,Lhx6,L2,5000,50,1,-1
5/20/19,TS052019f,Lhx6,L2,30000,100,1,-0.25
5/20/19,TS052019g,PV,L2,250,100,0.5,0.122807018
5/20/19,TS052019g,PV,L2,1000,20,0.5,-0.00952381
5/20/19,TS052019g,PV,L2,10000,10,1.5,0.047619048
5/20/19,TS052019g,PV,L2,30000,100,2.5,0.215572797
5/20/19,TS052019g,PV,L2,1000,10,2,0.333333333
5/20/19,TS052019g,PV,L2,20000,200,0.5,-0.058965102
5/20/19,TS052019g,PV,L2,1000,50,0.5,0.11827957
5/20/19,TS052019g,PV,L2,5000,100,0.5,0.118942731
5/20/19,TS052019g,PV,L2,20000,10,0.5,-0.014994233
5/20/19,TS052019g,PV,L2,5000,20,0.5,0.032258065
5/20/19,TS052019g,PV,L2,5000,100,2.5,0.38704028
5/20/19,TS052019g,PV,L2,20000,200,1,0.151343706
5/20/19,TS052019g,PV,L2,50,20,2.5,0.012658228
5/20/19,TS052019h,PV,L2,50,100,2,0.297297297
5/20/19,TS052019h,PV,L2,5000,150,1.25,-0.071428571
5/20/19,TS052019h,PV,L2,10000,50,1.5,0.069343066
5/20/19,TS052019h,PV,L2,500,50,1.5,0.190082645
5/20/19,TS052019h,PV,L2,5000,200,2.5,0.020408163
5/20/19,TS052019h,PV,L2,250,100,1.5,0.012658228
5/20/19,TS052019i,Lhx6,L2,250,100,1.5,-1
5/20/19,TS052019i,Lhx6,L2,500,10,1.5,-1
5/20/19,TS052019i,Lhx6,L2,1000,10,1.25,-1
5/20/19,TS052019i,Lhx6,L2,10000,100,1,-1
5/20/19,TS052019i,Lhx6,L2,5000,20,0.5,-0.19047619
5/20/19,TS052019i,Lhx6,L2,1000,150,1,-1
5/20/19,TS052019i,Lhx6,L2,5000,200,0.5,-1
5/20/19,TS052019i,Lhx6,L2,50,100,2,-1
5/20/19,TS052019i,Lhx6,L2,5000,80,0.5,-0.136363636
5/20/19,TS052019i,Lhx6,L2,10000,200,2,-1
5/20/19,TS052019i,Lhx6,L2,10000,100,2.5,-1
5/20/19,TS052019j,PV,R3,250,100,1.25,0.183098592
5/20/19,TS052019j,PV,R3,50,50,1,0.203007519
5/20/19,TS052019j,PV,R3,500,20,2,0.131313131
5/20/19,TS052019j,PV,R3,1000,100,2,0.343396226
5/20/19,TS052019j,PV,R3,250,80,1.5,0.399239544
5/20/19,TS052019j,PV,R3,500,150,2.5,0.34939759
5/20/19,TS052019j,PV,R3,250,100,2.5,0.285140562
5/20/19,TS052019j,PV,R3,20000,80,0.5,-0.040661613
5/20/19,TS052019j,PV,R3,30000,50,1,0.105663831
5/20/19,TS052019j,PV,R3,500,200,1,0.37037037
5/20/19,TS052019j,PV,R3,5000,200,1.25,0.084065245
5/20/19,TS052019j,PV,R3,500,20,2.5,0.339712919
5/20/19,TS052019j,PV,R3,100,200,1,0.314553991
5/20/19,TS052019j,PV,R3,500,80,2,0.605263158
5/13/19,22,PV,L3,500,200,2,0.008403361
5/13/19,22,PV,L3,10000,20,1,0.005847953
5/13/19,22,PV,L3,10000,100,1.25,0.071969697
5/13/19,22,PV,L3,10000,200,1.25,0.022988506
5/13/19,22,PV,L3,250,150,2,0.210084034
5/13/19,22,PV,L3,1000,10,2.5,0.166666667
5/13/19,22,PV,L3,100,20,1.5,0.049180328
5/13/19,22,PV,L3,10000,10,2.5,-0.015761821
5/13/19,22,PV,L3,1000,10,2,-0.023255814
5/13/19,22,PV,L3,50,200,2.5,-0.069767442
5/13/19,23,Lhx6,L3,500,10,1,-0.03030303
5/13/19,23,Lhx6,L3,30000,20,2,-0.032324262
5/13/19,23,Lhx6,L3,10000,50,1,-0.025641026
5/13/19,23,Lhx6,L3,500,80,2.5,-1
5/13/19,23,Lhx6,L3,250,50,2,-1
5/13/19,23,Lhx6,L3,30000,100,2.5,-0.096447814
5/13/19,23,Lhx6,L3,500,150,2,-1
5/13/19,25,PV,L3,1000,10,2.5,-0.032258065
5/13/19,23,Lhx6,L3,100,150,1,-1
5/13/19,23,Lhx6,L3,50,100,2.5,-1
5/13/19,24,Lhx6,L3,250,100,1,-0.36
5/13/19,29,Lhx6,R3,1000,10,1.5,0.014084507
5/13/19,24,Lhx6,L3,10000,200,2,-0.182795699
5/13/19,25,PV,L3,250,100,2,0.097142857
5/13/19,25,PV,L3,100,200,0.5,0.171548117
5/13/19,25,PV,L3,10000,100,1,-0.010794897
5/13/19,25,PV,L3,500,10,1,0.014084507
5/13/19,23,Lhx6,L3,1000,20,2.5,-1
5/13/19,25,PV,L3,50,50,1.25,0.240310078
5/13/19,25,PV,L3,500,10,1.25,0.090909091
5/13/19,25,PV,L3,50,20,2,-0.310344828
5/13/19,25,PV,L3,30000,200,1,-0.163994394
5/13/19,25,PV,L3,50,80,2.5,-1
5/13/19,29,Lhx6,R3,1000,20,2,-0.176470588
5/13/19,26,Lhx6,L3,1000,50,1.5,-0.746031746
5/13/19,24,Lhx6,L3,1000,80,1,-0.076923077
5/13/19,26,Lhx6,L3,10000,100,2,0.082278481
5/13/19,26,Lhx6,L3,10000,200,2,-0.146953405
5/13/19,25,PV,L3,1000,80,2,0.282051282
5/13/19,26,Lhx6,L3,500,20,1.5,-0.119266055
5/13/19,26,Lhx6,L3,500,100,2.5,-1
5/13/19,26,Lhx6,L3,30000,80,1.5,-0.105990146
5/13/19,26,Lhx6,L3,100,100,2.5,-1
5/13/19,26,Lhx6,L3,500,20,2,-0.225806452
5/13/19,26,Lhx6,L3,50,10,0.5,-0.166666667
5/13/19,27,Lhx6,L2,250,100,2,-0.68627451
5/13/19,27,Lhx6,L2,250,80,1.25,-0.666666667
5/13/19,27,Lhx6,L2,10000,100,1.25,-0.052631579
5/13/19,27,Lhx6,L2,30000,150,2,0.033333333
5/13/19,27,Lhx6,L2,50,10,1.5,0.31147541
5/13/19,27,Lhx6,L2,10000,150,1.5,0.033816425
5/13/19,27,Lhx6,L2,30000,200,1.25,-0.028226014
5/13/19,27,Lhx6,L2,30000,150,0.5,-0.09550531
5/13/19,27,Lhx6,L2,30000,20,0.5,-0.012658228
5/13/19,27,Lhx6,L2,50,150,1.25,0.739130435
5/13/19,26,Lhx6,L3,1000,80,2,-0.884057971
5/13/19,28,PV,L2,250,100,2,0.138339921
5/13/19,28,PV,L2,250,100,1,0.063122924
5/13/19,28,PV,L2,30000,100,2.5,0.010988623
5/13/19,28,PV,L2,250,100,1.25,0.214521452
5/13/19,28,PV,L2,500,10,1.25,0.019607843
5/13/19,28,PV,L2,250,50,0.5,-0.022222222
5/13/19,28,PV,L2,50,80,2,0.428571429
5/13/19,28,PV,L2,250,80,2,0.28
5/13/19,28,PV,L2,30000,150,1,-0.035806289
5/13/19,28,PV,L2,500,50,1.25,0.238709677
5/13/19,28,PV,L2,500,200,1.25,0.490494297
5/13/19,29,Lhx6,R3,250,100,1,-1
5/13/19,29,Lhx6,R3,500,10,1.5,-0.1
5/13/19,26,Lhx6,L3,1000,100,2,-1
5/13/19,27,Lhx6,L2,1000,200,0.5,0.517241379
5/13/19,29,Lhx6,R3,250,80,2,-1
5/13/19,29,Lhx6,R3,10000,10,1.25,-0.07569614
5/13/19,29,Lhx6,R3,50,50,2,0
5/13/19,29,Lhx6,R3,50,20,2,0.081081081
5/13/19,29,Lhx6,R3,250,100,1.5,-1
5/13/19,29,Lhx6,R3,30000,80,1.25,0.200560449
5/13/19,29,Lhx6,R3,10000,200,2.5,-0.115702479
5/14/19,30,PV,R2,250,100,0.5,-0.111111111
5/14/19,30,PV,R2,250,100,1,0.170731707
5/14/19,30,PV,R2,50,200,1.5,0.584158416
5/14/19,30,PV,R2,1000,200,1.5,0.254901961
5/14/19,30,PV,R2,50,150,2,0.70212766
5/14/19,31,PV,R2,250,100,1,0.435448578
5/14/19,31,PV,R2,10000,200,0.5,0.126712329
5/14/19,31,PV,R2,50,20,1.5,0.121495327
5/14/19,31,PV,R2,30000,150,1,0.224849031
5/14/19,31,PV,R2,500,50,2.5,0.637209302
5/14/19,31,PV,R2,500,20,0.5,0.088757396
5/14/19,31,PV,R2,50,150,2,0.670146138
5/14/19,31,PV,R2,500,100,0.5,0.648590022
5/14/19,31,PV,R2,1000,100,0.5,0.643835616
5/14/19,31,PV,R2,50,20,1,0.194029851
5/14/19,31,PV,R2,30000,100,1,0.197080292
5/14/19,32,Lhx6,R2,250,100,1,-0.083333333
5/14/19,32,Lhx6,R2,50,20,2.5,-0.304347826
5/14/19,32,Lhx6,R2,500,10,2.5,0.025641026
5/14/19,32,Lhx6,R2,100,10,1,0.165048544
5/14/19,32,Lhx6,R2,10000,200,2.5,-0.046025105
5/14/19,32,Lhx6,R2,250,150,1.25,-0.294117647
5/14/19,32,Lhx6,R2,1000,150,0.5,-0.024390244
5/14/19,32,Lhx6,R2,50,200,2,-0.223300971
5/14/19,32,Lhx6,R2,100,150,2,-0.402985075
5/14/19,32,Lhx6,R2,1000,80,1.5,0.041666667
5/14/19,32,Lhx6,R2,10000,200,2,-0.229946524
5/14/19,33,PV,R3,250,100,1,0.111110417
5/14/19,33,PV,R3,500,200,2,0.076923077
5/14/19,33,PV,R3,50,10,1,-0.207920792
5/14/19,33,PV,R3,10000,80,1,0.019230769
5/14/19,33,PV,R3,1000,100,2.5,0.157894737
5/14/19,33,PV,R3,500,20,1.5,0.037037037
5/14/19,33,PV,R3,30000,20,1.5,-0.01532567
5/14/19,33,PV,R3,500,150,2.5,0.226277372
5/14/19,33,PV,R3,250,20,1,0.009009009
5/14/19,33,PV,R3,1000,200,2.5,0.090909091
5/14/19,33,PV,R3,250,200,0.5,-0.008849558
5/14/19,34,PV,R3,250,100,2,0.31147541
5/14/19,34,PV,R3,30000,50,0.5,-0.026392962
5/14/19,34,PV,R3,30000,10,1.5,-0.020190202
5/14/19,34,PV,R3,30000,80,1.5,-0.013270221
5/14/19,34,PV,R3,50,10,1.25,0.142857143
5/14/19,34,PV,R3,250,20,1,-0.058823529
5/14/19,34,PV,R3,500,80,1,0.018181818
5/14/19,34,PV,R3,1000,200,2.5,0.285714286
5/14/19,34,PV,R3,100,200,1.5,0.194029851
5/14/19,34,PV,R3,30000,200,1.5,-0.041132444
5/14/19,34,PV,R3,500,50,1,0.253012048
5/14/19,35,Lhx6,L2,250,100,1,-0.257382278
5/14/19,35,Lhx6,L2,250,80,2,-0.652173913
5/14/19,35,Lhx6,L2,250,200,2.5,-1
5/14/19,35,Lhx6,L2,10000,20,2.5,0.08045977
5/14/19,35,Lhx6,L2,500,10,2,0.129411765
5/14/19,35,Lhx6,L2,50,20,1.25,0.126760563
5/14/19,35,Lhx6,L2,50,150,2,0.142857143
5/14/19,35,Lhx6,L2,1000,10,0.5,0.037037037
5/14/19,35,Lhx6,L2,10000,20,0.5,0.080882353
5/14/19,35,Lhx6,L2,100,150,1.25,-1
5/14/19,35,Lhx6,L2,1000,200,2,-0.789473684
5/14/19,36,Lhx6,L2,250,100,1,-0.496062992
5/14/19,36,Lhx6,L2,500,100,1.5,-1
5/14/19,36,Lhx6,L2,10000,50,1.25,-0.081967213
5/14/19,36,Lhx6,L2,50,100,1,-1
5/14/19,36,Lhx6,L2,10000,50,2.5,0.038461538
5/14/19,36,Lhx6,L2,1000,200,2,-0.875
5/14/19,36,Lhx6,L2,50,150,0.5,0.212121212
5/14/19,36,Lhx6,L2,100,150,2,-1
5/14/19,36,Lhx6,L2,250,80,0.5,0.333333333
5/14/19,36,Lhx6,L2,1000,100,1.5,-1
5/14/19,36,Lhx6,L2,100,20,2,-1
5/14/19,37,PV,L2,250,100,2,0.420365535
5/14/19,37,PV,L2,500,100,1.5,0.392405063
5/14/19,37,PV,L2,50,10,0.5,0.138790036
5/14/19,37,PV,L2,500,100,2,0.487179487
5/14/19,37,PV,L2,500,200,1.5,0.394495413
5/14/19,37,PV,L2,1000,200,2,0.318996416
5/14/19,37,PV,L2,50,20,1.5,0.216730038
5/14/19,37,PV,L2,100,150,2,0.563218391
5/14/19,37,PV,L2,100,50,1.5,0.290322581
5/14/19,37,PV,L2,500,150,1.25,0.336708861
5/14/19,37,PV,L2,500,200,2.5,0.358490566
5/14/19,38,PV,L2,250,100,1.5,0.339207048
5/14/19,38,PV,L2,500,80,2,0.509433962
5/14/19,38,PV,L2,100,50,2,0.27388535
5/14/19,38,PV,L2,10000,20,1,0.166666667
5/14/19,38,PV,L2,30000,80,1.5,0.268953398
5/14/19,38,PV,L2,100,50,0.5,-0.05511811
5/14/19,38,PV,L2,1000,80,1.25,0.471861472
5/14/19,38,PV,L2,1000,100,0.5,0.325714286
5/14/19,38,PV,L2,1000,150,1.25,0.616161616
5/14/19,39,Lhx6,L2,250,100,1.5,-0.189873418
5/14/19,39,Lhx6,L2,30000,20,1.5,-0.008404421
5/14/19,39,Lhx6,L2,1000,150,2.5,0.098039216
5/14/19,39,Lhx6,L2,30000,80,1.5,0.074074074
5/14/19,39,Lhx6,L2,500,80,2,-0.619047619
5/14/19,39,Lhx6,L2,10000,50,2,0.203539823
5/14/19,39,Lhx6,L2,100,100,2,0.111111111
5/14/19,39,Lhx6,L2,30000,20,2.5,0.147426026
5/14/19,39,Lhx6,L2,30000,10,0.5,0.028571429
5/14/19,39,Lhx6,L2,50,20,1.25,0.403508772
5/14/19,39,Lhx6,L2,50,20,1.5,-1
