Process day,CellName,Condition,Ringer,Animal Line,Slice,Cell Type,Sweep,PW (uS),Calc'd Min,Duration,Frequency,AmpMult,Amp,IPI,Pulses,Baseline FR,Stim FR,Post FR,Modulation Index,Antidromic activity
8/29/19,TS082919a,Naïve,Normal,PVtmtxLhx6GFP,L2,Lhx6,19,100,0.07,100,150,1,0.07,6.666666667,15,10,20,11,0.333333333,no
8/29/19,TS082919a,Naïve,Normal,PVtmtxLhx6GFP,L2,Lhx6,24,100,0.07,250,20,1,0.07,50,5,10.5,16,11,0.20754717,no
8/29/19,TS082919a,Naïve,Normal,PVtmtxLhx6GFP,L2,Lhx6,25,100,0.07,250,100,0.5,0.035,10,25,10,24,9,0.411764706,no
8/29/19,TS082919a,Naïve,Normal,PVtmtxLhx6GFP,L2,Lhx6,26,100,0.07,500,80,1.5,0.105,12.5,40,11,4,12,-0.466666667,no
8/29/19,TS082919a,Naïve,Normal,PVtmtxLhx6GFP,L2,Lhx6,27,100,0.07,500,200,2,0.14,5,100,10,2,16.5,-0.666666667,no
8/29/19,TS082919a,Naïve,Normal,PVtmtxLhx6GFP,L2,Lhx6,28,100,0.07,500,20,1,0.07,50,10,11,20,10.5,0.290322581,no
8/29/19,TS082919a,Naïve,Normal,PVtmtxLhx6GFP,L2,Lhx6,29,100,0.07,1000,80,1.5,0.105,12.5,80,10,3,17,-0.538461538,no
8/29/19,TS082919a,Naïve,Normal,PVtmtxLhx6GFP,L2,Lhx6,30,100,0.07,1000,100,2,0.14,10,100,12.5,1,21.5,-0.851851852,no
8/29/19,TS082919a,Naïve,Normal,PVtmtxLhx6GFP,L2,Lhx6,31,100,0.07,1000,10,2.5,0.175,100,10,13.5,19,13.5,0.169230769,no
8/29/19,TS082919a,Naïve,Normal,PVtmtxLhx6GFP,L2,Lhx6,32,100,0.07,5000,150,1,0.07,6.666666667,750,9.5,17.6,23.5,0.298892989,no
8/29/19,TS082919a,Naïve,Normal,PVtmtxLhx6GFP,L2,Lhx6,33,100,0.07,5000,50,0.5,0.035,20,250,12.5,21,13,0.253731343,no
8/29/19,TS082919a,Naïve,Normal,PVtmtxLhx6GFP,L2,Lhx6,34,100,0.07,10000,50,1.5,0.105,20,500,14,30.5,21,0.370786517,no
8/29/19,TS082919a,Naïve,Normal,PVtmtxLhx6GFP,L2,Lhx6,35,100,0.07,30000,20,2,0.14,50,600,13.5,21.0667,11.5,0.218901428,no
8/29/19,TS082919b,Naïve,Normal,PVtmtxLhx6GFP,L2,PV,2,100,0.07,100,150,1,0.07,6.666666667,15,11.5,40,8,0.553398058,no
8/29/19,TS082919b,Naïve,Normal,PVtmtxLhx6GFP,L2,PV,3,100,0.07,250,20,1,0.07,50,5,10,16,12.5,0.230769231,no
8/29/19,TS082919b,Naïve,Normal,PVtmtxLhx6GFP,L2,PV,4,100,0.07,250,100,0.5,0.035,10,25,22.5,36,21.5,0.230769231,no
