Process day,CellName,Condition,Ringer,Animal Line,Slice,Cell Type,Sweep,PW (uS),Calc'd Min,Duration,Frequency,AmpMult,Amp,IPI,Pulses,Baseline FR,Stim FR,Post FR,Modulation Index
10/9/19,TS101019c,Naïve,Normal,PV x Lhx6,R3,Lhx6,0,100,0.15,200,125,1.75,0.2625,8,25,9,0,9.5,-1
10/9/19,TS101019c,Naïve,Normal,PV x Lhx6,R3,Lhx6,1,100,0.15,250,175,1.75,0.2625,5.714285714,43.75,8,0,8,-1
10/9/19,TS101019c,Naïve,Normal,PV x Lhx6,R3,Lhx6,2,100,0.15,350,125,1.75,0.2625,8,43.75,7,0,8,-1
10/9/19,TS101019c,Naïve,Normal,PV x Lhx6,R3,Lhx6,3,100,0.15,325,175,1.75,0.2625,5.714285714,56.875,6.5,0,7,-1
10/9/19,TS101019c,Naïve,Normal,PV x Lhx6,R3,Lhx6,4,100,0.15,275,125,2.25,0.3375,8,34.375,6.5,0,6.5,-1
10/9/19,TS101019c,Naïve,Normal,PV x Lhx6,R3,Lhx6,5,100,0.15,350,175,2.25,0.3375,5.714285714,61.25,5,0,6.5,-1
10/9/19,TS101019c,Naïve,Normal,PV x Lhx6,R3,Lhx6,7,100,0.15,400,125,2.25,0.3375,8,50,5.5,0,6.5,-1
10/9/19,TS101019c,Naïve,Normal,PV x Lhx6,R3,Lhx6,8,100,0.15,400,175,2.25,0.3375,5.714285714,70,5,0,5.5,-1
10/9/19,TS101019c,Naïve,Normal,PV x Lhx6,R3,Lhx6,9,100,0.15,275,150,1.9,0.285,6.666666667,41.25,5,0,5.5,-1
10/9/19,TS101019c,Naïve,Normal,PV x Lhx6,R3,Lhx6,10,100,0.15,225,140,1.9,0.285,7.142857143,31.5,5,0,6,-1
10/9/19,TS101019c,Naïve,Normal,PV x Lhx6,R3,Lhx6,11,100,0.15,375,135,2.1,0.315,7.407407407,50.625,5.5,0,6,-1
10/9/19,TS101019c,Naïve,Normal,PV x Lhx6,R3,Lhx6,12,100,0.15,400,180,2.4,0.36,5.555555556,72,5,0,6,-1
10/9/19,TS101019c,Naïve,Normal,PV x Lhx6,R3,Lhx6,13,100,0.15,350,150,2.15,0.3225,6.666666667,52.5,5,0,6,-1
10/9/19,TS101019c,Naïve,Normal,PV x Lhx6,R3,Lhx6,14,100,0.15,1000,200,2,0.3,5,200,4,0,7.5,-1
10/9/19,TS101019d,Naïve,Normal,PV x Lhx6,R3,PV,0,100,0.15,200,125,1.75,0.2625,8,25,30.5,109.375,37.5,0.563896336
10/9/19,TS101019d,Naïve,Normal,PV x Lhx6,R3,PV,1,100,0.15,250,175,1.75,0.2625,5.714285714,43.75,20,89.7593,19,0.635566189
10/9/19,TS101019d,Naïve,Normal,PV x Lhx6,R3,PV,2,100,0.15,350,125,1.75,0.2625,8,43.75,18.5,98.8372,13.5,0.684669482
